,一共游戏场数,4303
,,亿奥斯饼干	猛攻哑铃	力量头带,7,58.33%,2
,,力量头带	锐利之爪	焦点镜,1,33.33%,2
,,亿奥斯饼干	猛攻哑铃	焦点镜,2,40.0%,1
,,猛攻哑铃	气势头带	力量头带,1,100.0%,1
,,亿奥斯饼干	猛攻哑铃	弱点保险,1,50.0%,1
,,气势头带	力量头带	焦点镜,0,0.0%,1
9,冰伊布,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,30,7.88%,239,70.5%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Rimaaafan,48,80.0%
,,Rimaaa,46,60.53%
,,ки・J1h4,27,69.23%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,冰锥		冰砾		速度强化,147,69.01%,22
,,冰锥		冰砾		攻击强化,36,90.0%,4
,,冰锥		冰砾		逃脱按键,31,67.39%,4
,,冰冻之风	冷冻干燥	速度强化,13,68.42%,3
,,冰冻之风	冷冻干燥	攻击强化,12,57.14%,3
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,讲究眼镜	气势头带	博识眼镜,12,85.71%,6
,,讲究眼镜	能量增幅器	博识眼镜,66,75.0%,5
,,能量增幅器	气势头带	力量头带,51,62.96%,2
,,进击眼镜	气势头带	博识眼镜,27,69.23%,1
,,讲究眼镜	能量增幅器	焦点镜,23,69.7%,1
,,讲究眼镜	贝壳之铃	博识眼镜,22,84.62%,1
,,能量增幅器	救援屏障	博识眼镜,14,82.35%,1
,,讲究眼镜	救援屏障	博识眼镜,9,81.82%,1
,,能量增幅器	气势头带	贝壳之铃,4,57.14%,1
,,讲究眼镜	气势头带	力量头带,2,100.0%,1
,,讲究眼镜	能量增幅器	气势头带,1,100.0%,1
,,能量增幅器	气势头带	博识眼镜,1,100.0%,1
,,能量增幅器	力量头带	博识眼镜,1,50.0%,1
,,救援屏障	气势头带	力量头带,1,33.33%,1
,,讲究眼镜	能量增幅器	力量头带,0,0.0%,1
,,能量增幅器	进击眼镜	气势头带,0,0.0%,1
,,讲究眼镜	进击眼镜	博识眼镜,0,0.0%,1
,,气势头带	力量头带	焦点镜,0,0.0%,1
,,讲究眼镜	能量增幅器	进击眼镜,0,0.0%,1
10,路卡利欧,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,38,6.51%,191,68.21%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,不思議ノ国ノ,27,67.5%
,,LyNTempo,22,66.67%
,,MW・KyluK十,20,64.52%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,神速		骨棒乱打	万灵药,89,70.08%,23
,,神速		骨棒乱打	速度强化,50,60.98%,10
,,增强拳	近身战	速度强化,20,62.5%,7
,,增强拳	近身战	攻击强化,12,80.0%,7
,,增强拳	近身战	万灵药,4,100.0%,3
,,神速		近身战	速度强化,4,80.0%,4
,,增强拳	近身战	逃脱按键,4,80.0%,2
,,神速		骨棒乱打	攻击强化,4,80.0%,3
,,增强拳	近身战	伤药	,2,100.0%,1
,,增强拳	骨棒乱打	速度强化,1,100.0%,1
,,神速		近身战	万灵药,1,100.0%,1
,,增强拳	近身战	向尾喵的尾巴,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,猛攻哑铃	力量头带	弱点保险,76,64.41%,12
,,猛攻哑铃	锐利之爪	弱点保险,46,67.65%,9
,,猛攻哑铃	力量头带	锐利之爪,18,72.0%,7
,,能量增幅器	猛攻哑铃	气势头带,20,64.52%,1
,,猛攻哑铃	轻石		锐利之爪,15,88.24%,1
,,救援屏障	猛攻哑铃	气势头带,4,100.0%,1
,,猛攻哑铃	气势头带	锐利之爪,2,66.67%,1
,,力量头带	锐利之爪	弱点保险,1,100.0%,1
,,能量增幅器	亿奥斯饼干	猛攻哑铃,0,0.0%,1
,,猛攻哑铃	气势头带	弱点保险,0,0.0%,1
11,闪焰王牌,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,35,4.42%,130,68.42%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Savior,34,69.39%
,,Adrian9D,13,81.25%
,,Emiku,11,73.33%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,火焰踢	蓄能焰袭	逃脱按键,74,68.52%,18
,,火焰踢	蓄能焰袭	攻击强化,40,70.18%,9
,,火焰踢	蓄能焰袭	万灵药,10,55.56%,8
,,火焰踢	佯攻		攻击强化,2,100.0%,1
,,火焰踢	佯攻		逃脱按键,2,100.0%,1
,,火焰球	蓄能焰袭	逃脱按键,1,100.0%,1
,,火焰踢	佯攻		速度强化,1,100.0%,1
,,火焰踢	蓄能焰袭	速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	锐利之爪	焦点镜,29,64.44%,13
,,猛攻哑铃	力量头带	焦点镜,32,74.42%,8
,,气势头带	力量头带	焦点镜,20,68.97%,8
,,能量增幅器	力量头带	焦点镜,41,70.69%,3
,,救援屏障	力量头带	焦点镜,1,50.0%,2
12,卡比兽,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,22,4.3%,136,73.51%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,アノーリカ闇,44,77.19%
,,TE・999,30,69.77%
,,INF・DrakenN,16,84.21%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,重磅冲撞	挡路		速度强化,132,73.74%,19
,,重磅冲撞	挡路		逃脱按键,4,66.67%,3
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,救援屏障	学习装置	气势头带,106,73.61%,10
,,救援屏障	得分护盾	气势头带,23,76.67%,7
,,救援屏障	亿奥斯饼干	气势头带,2,66.67%,1
,,救援屏障	亿奥斯饼干	猛攻哑铃,1,100.0%,1
,,救援屏障	轻石		气势头带,0,0.0%,1
,,救援屏障	气势头带	力量头带,0,0.0%,1
13,皮卡丘,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,25,3.63%,109,69.87%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,セイキン_VT,45,76.27%
,,ryanxoxo,28,71.79%
,,AramisCe,9,90.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,电球		伏特攻击	逃脱按键,60,74.07%,11
,,打雷		十万伏特	逃脱按键,45,68.18%,11
,,打雷		十万伏特	速度强化,3,100.0%,2
,,电球		伏特攻击	速度强化,1,33.33%,3
,,打雷		伏特攻击	逃脱按键,0,0.0%,1
,,电球		十万伏特	速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,讲究眼镜	能量增幅器	救援屏障,47,74.6%,4
,,讲究眼镜	能量增幅器	贝壳之铃,39,63.93%,4
,,救援屏障	气势头带	力量头带,12,80.0%,3
,,能量增幅器	气势头带	力量头带,2,66.67%,2
,,讲究眼镜	能量增幅器	气势头带,1,50.0%,2
,,讲究眼镜	气势头带	博识眼镜,2,100.0%,1
,,讲究眼镜	气势头带	力量头带,2,100.0%,1
,,讲究眼镜	救援屏障	贝壳之铃,1,100.0%,1
,,能量增幅器	学习装置	气势头带,1,100.0%,1
,,能量增幅器	救援屏障	贝壳之铃,1,100.0%,1
,,能量增幅器	救援屏障	博识眼镜,1,100.0%,1
,,讲究眼镜	能量增幅器	力量头带,0,0.0%,1
,,能量增幅器	救援屏障	气势头带,0,0.0%,1
,,能量增幅器	气势头带	博识眼镜,0,0.0%,1
14,坚盾剑怪,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,26,3.3%,110,77.46%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,HMB_jyonson,18,90.0%
,,Aurimakii,16,76.19%
,,LeCodingTTV,15,83.33%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,圣剑		广域防守	伤药	,44,75.86%,13
,,圣剑		广域防守	攻击强化,36,85.71%,6
,,圣剑		广域防守	万灵药,12,70.59%,4
,,圣剑		广域防守	逃脱按键,7,77.78%,3
,,暗影爪	铁头		伤药	,5,100.0%,2
,,圣剑		广域防守	速度强化,3,75.0%,2
,,暗影爪	广域防守	攻击强化,2,40.0%,1
,,暗影爪	广域防守	速度强化,1,50.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,气势头带	力量头带	弱点保险,19,76.0%,7
,,猛攻哑铃	气势头带	弱点保险,22,78.57%,4
,,气势头带	锐利之爪	弱点保险,10,76.92%,3
,,猛攻哑铃	气势头带	力量头带,2,66.67%,2
,,能量增幅器	气势头带	力量头带,18,90.0%,1
,,能量增幅器	气势头带	锐利之爪,15,83.33%,1
,,救援屏障	气势头带	力量头带,6,85.71%,1
,,救援屏障	气势头带	弱点保险,6,60.0%,1
,,救援屏障	力量头带	弱点保险,3,100.0%,1
,,亿奥斯饼干	猛攻哑铃	力量头带,3,100.0%,1
,,气势头带	锐利之爪	焦点镜,3,50.0%,1
,,气势头带	力量头带	焦点镜,2,66.67%,1
,,气势头带	力量头带	锐利之爪,1,50.0%,1
,,猛攻哑铃	气势头带	锐利之爪,0,0.0%,1
15,呆壳兽,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,16,3.09%,80,60.15%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
