,一共游戏场数,6251
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,弱点保险	气势头带	猛攻哑铃,24,68.57%,9
,,气势头带	猛攻哑铃	锐利之爪,15,71.43%,7
,,亿奥斯饼干	弱点保险	猛攻哑铃,27,65.85%,6
,,弱点保险	猛攻哑铃	锐利之爪,16,72.73%,5
,,弱点保险	气势头带	锐利之爪,14,66.67%,5
,,亿奥斯饼干	猛攻哑铃	锐利之爪,24,77.42%,4
,,亿奥斯饼干	气势头带	猛攻哑铃,37,78.72%,3
,,亿奥斯饼干	力量头带	猛攻哑铃,7,58.33%,3
,,力量头带	猛攻哑铃	锐利之爪,8,57.14%,1
,,力量头带	弱点保险	猛攻哑铃,6,75.0%,1
,,力量头带	气势头带	猛攻哑铃,0,0.0%,1
10,胡帕,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,42,3.65%,157,68.86%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,HS・MaoBau,22,88.0%
,,ちゃる__,18,64.29%
,,Aку,12,66.67%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,潜灵奇袭	异次元洞	逃脱按键,92,69.17%,19
,,潜灵奇袭	异次元洞	速度强化,60,68.97%,19
,,潜灵奇袭	异次元洞	攻击强化,2,66.67%,2
,,暗影球	异次元洞	速度强化,2,66.67%,1
,,暗影球	异次元洞	逃脱按键,1,100.0%,1
,,潜灵奇袭	异次元洞	万灵药,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	学习装置	气势头带,103,74.1%,24
,,咒术熏香	学习装置	气势头带,26,66.67%,4
,,学习装置	气势头带	连打围巾,5,62.5%,3
,,学习装置	气势头带	轻石,1,16.67%,3
,,力量头带	咒术熏香	学习装置,9,60.0%,2
,,力量头带	学习装置	讲究眼镜,7,58.33%,2
,,力量头带	学习装置	连打围巾,5,83.33%,2
,,学习装置	气势头带	讲究眼镜,1,50.0%,1
,,力量头带	学习装置	穿透汤匙,0,0.0%,1
11,月亮伊布,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,48,3.55%,152,68.47%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Róge,23,74.19%
,,回VodaVrot回,17,70.83%
,,EXO.JEb,13,92.86%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
