,一共游戏场数,6766
1,阿罗拉雷丘,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,蓄能焰袭	飞翔		攻击强化,20,80.0%,1
,,燕返		勇鸟猛攻	攻击强化,19,59.38%,8
,,燕返		勇鸟猛攻	万灵药,5,62.5%,4
,,燕返		飞翔		逃脱按键,2,100.0%,2
,,蓄能焰袭	飞翔		速度强化,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,增速护腕	猛攻哑铃	锐利之爪,105,64.02%,40
,,充能坠饰	增速护腕	猛攻哑铃,53,68.83%,18
,,充能坠饰	猛攻哑铃	锐利之爪,26,61.9%,7
,,充能坠饰	增速护腕	锐利之爪,45,70.31%,5
,,充能坠饰	猛攻哑铃	轻石,18,56.25%,3
,,增速护腕	猛攻哑铃	轻石,2,66.67%,3
,,增速护腕	轻石	锐利之爪,1,50.0%,2
,,增速护腕	焦点镜	猛攻哑铃,9,56.25%,1
,,增速护腕	气势头带	猛攻哑铃,0,0.0%,1
6,阿勃梭鲁,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,71,5.85%,278,70.2%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Ragñar么,20,71.43%
,,[°ĂUŔUŞ¿?],18,85.71%
,,Mufasa°,17,77.27%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,追打		精神利刃	万灵药,128,69.57%,37
,,追打		精神利刃	逃脱按键,30,66.67%,8
,,追打		精神利刃	攻击强化,29,72.5%,12
,,暗袭要害	精神利刃	万灵药,27,75.0%,18
,,追打		突袭		万灵药,15,78.95%,15
,,追打		突袭		逃脱按键,12,75.0%,8
,,暗袭要害	精神利刃	攻击强化,11,68.75%,4
,,追打		精神利刃	速度强化,9,60.0%,1
,,追打		突袭		伤药	,6,85.71%,4
,,暗袭要害	精神利刃	逃脱按键,4,80.0%,4
,,追打		精神利刃	伤药	,2,66.67%,2
,,追打		突袭		攻击强化,2,33.33%,3
,,追打		精神利刃	向尾喵的尾巴,1,100.0%,1
,,暗袭要害	精神利刃	向尾喵的尾巴,1,100.0%,1
,,暗袭要害	突袭		万灵药,1,50.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,增速护腕	焦点镜	锐利之爪,179,70.47%,46
,,焦点镜	猛攻哑铃	锐利之爪,26,66.67%,6
,,焦点镜	能量增幅器	锐利之爪,27,67.5%,5
,,增速护腕	焦点镜	猛攻哑铃,21,80.77%,4
,,增速护腕	能量增幅器	锐利之爪,5,83.33%,2
,,力量头带	焦点镜	锐利之爪,3,100.0%,2
,,增速护腕	猛攻哑铃	锐利之爪,4,66.67%,1
,,充能坠饰	增速护腕	焦点镜,4,57.14%,1
,,焦点镜	轻石	锐利之爪,3,60.0%,1
,,增速护腕	猛攻哑铃	能量增幅器,3,50.0%,1
,,充能坠饰	焦点镜	锐利之爪,2,66.67%,1
,,增速护腕	焦点镜	能量增幅器,1,100.0%,1
7,苍响,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,55,5.54%,268,71.47%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,秘密の約束,25,78.12%
,,竜舞ばらてゃ,18,81.82%
,,竜舞ぱらてゃ,18,81.82%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,圣剑		嬉闹		逃脱按键,107,73.29%,34
,,圣剑		高速移动	逃脱按键,62,67.39%,21
,,圣剑		嬉闹		万灵药,48,77.42%,17
,,圣剑		高速移动	万灵药,37,74.0%,8
,,金属爪	嬉闹		逃脱按键,7,63.64%,5
,,金属爪	嬉闹		万灵药,4,50.0%,3
,,金属爪	高速移动	逃脱按键,2,50.0%,3
,,金属爪	高速移动	万灵药,1,50.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	增速护腕	腐朽的剑,169,74.12%,34
,,力量头带	腐朽的剑	锐利之爪,48,71.64%,10
,,增速护腕	腐朽的剑	锐利之爪,32,69.57%,8
,,增速护腕	焦点镜	腐朽的剑,17,56.67%,1
,,力量头带	腐朽的剑	连打围巾,1,100.0%,1
,,凸凸头盔	增速护腕	腐朽的剑,1,33.33%,1
8,千面避役,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,71,5.37%,244,67.22%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,PøĄ°Doni,19,70.37%
,,^Akshu^,16,64.0%
,,CKL・Sunzage,15,78.95%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,致命针刺	狙击		逃脱按键,241,67.7%,70
,,杂技		水流裂破	逃脱按键,3,50.0%,5
,,致命针刺	水流裂破	逃脱按键,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	讲究眼镜	驱动镜,62,70.45%,25
,,穿透汤匙	讲究眼镜	驱动镜,68,68.0%,19
,,博识眼镜	穿透汤匙	讲究眼镜,63,67.74%,14
,,博识眼镜	穿透汤匙	驱动镜,38,58.46%,11
,,学习装置	讲究眼镜	驱动镜,13,76.47%,2
9,魔幻假面喵,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,48,5.35%,260,71.82%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,JPN_Rain67,51,78.46%
,,Dusquito,27,50.94%
,,よっしーー_,20,83.33%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,千变万花	影子分身	逃脱按键,226,72.44%,39
,,暗袭要害	起草		攻击强化,22,78.57%,3
,,千变万花	影子分身	脱壳忍者玩偶,3,60.0%,4
,,暗袭要害	起草		逃脱按键,3,42.86%,6
,,暗袭要害	影子分身	逃脱按键,2,100.0%,2
,,暗袭要害	起草		万灵药,2,66.67%,2
,,暗袭要害	起草		脱壳忍者玩偶,1,100.0%,1
,,千变万花	影子分身	攻击强化,1,33.33%,2
,,千变万花	起草		脱壳忍者玩偶,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,增速护腕	猛攻哑铃	锐利之爪,148,70.14%,20
,,增速护腕	猛攻哑铃	能量增幅器,45,78.95%,11
,,弱点保险	猛攻哑铃	锐利之爪,8,66.67%,2
,,增速护腕	弱点保险	猛攻哑铃,6,54.55%,2
,,增速护腕	焦点镜	锐利之爪,1,50.0%,2
,,充能坠饰	增速护腕	猛攻哑铃,0,0.0%,2
