,一共游戏场数,11348
1,超梦X,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,博识眼镜	穿透汤匙	贝壳之铃,19,79.17%,2
,,穿透汤匙	讲究眼镜	贝壳之铃,7,70.0%,2
,,博识眼镜	气势头带	穿透汤匙,3,42.86%,2
,,博识眼镜	气势头带	讲究眼镜,2,50.0%,2
,,气势头带	讲究眼镜	贝壳之铃,25,65.79%,1
,,力量头带	穿透汤匙	连打围巾,5,100.0%,1
,,力量头带	救援屏障	气势头带,0,0.0%,1
6,月亮伊布,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,84,5.77%,510,77.86%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Kleu,96,76.19%
,,Charnelz,43,84.31%
,,yume爱,39,90.7%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,黑色目光	大声咆哮	逃脱按键,96,74.42%,11
,,移花接木	大声咆哮	逃脱按键,78,81.25%,22
,,移花接木	大声咆哮	伤药	,64,83.12%,12
,,黑色目光	大声咆哮	速度强化,61,80.26%,12
,,黑色目光	祈愿		速度强化,61,79.22%,14
,,黑色目光	大声咆哮	伤药	,47,81.03%,7
,,黑色目光	祈愿		逃脱按键,45,72.58%,12
,,移花接木	大声咆哮	速度强化,43,76.79%,20
,,黑色目光	祈愿		伤药	,8,72.73%,5
,,移花接木	祈愿		速度强化,3,75.0%,4
,,移花接木	祈愿		逃脱按键,2,100.0%,1
,,移花接木	大声咆哮	万灵药,1,50.0%,1
,,移花接木	大声咆哮	脱壳忍者玩偶,1,33.33%,1
,,移花接木	祈愿		伤药	,0,0.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	学习装置	气势头带,162,77.14%,13
,,亿奥斯饼干	气势头带	猛攻哑铃,29,78.38%,12
,,学习装置	气势头带	猛攻哑铃,74,77.89%,11
,,学习装置	救援屏障	气势头带,60,75.0%,9
,,弱点保险	气势头带	猛攻哑铃,21,80.77%,9
,,学习装置	弱点保险	气势头带,15,93.75%,6
,,亿奥斯饼干	学习装置	气势头带,71,81.61%,5
,,学习装置	气势头带	轻石,11,78.57%,4
,,力量头带	气势头带	猛攻哑铃,3,50.0%,3
,,亿奥斯饼干	学习装置	猛攻哑铃,42,91.3%,2
,,亿奥斯饼干	救援屏障	气势头带,4,100.0%,2
,,学习装置	气势头带	突击背心,10,71.43%,1
,,力量头带	气势头带	锐利之爪,3,75.0%,1
,,学习装置	气势头带	锐利之爪,3,60.0%,1
,,学习装置	气势头带	焦点镜,1,100.0%,1
