,一共游戏场数,9194
1,卡比兽,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,拍落	出奇一击	得分加速装置,1,100.0%,1
,,影子偷袭	出奇一击	迟缓烟雾,1,100.0%,1
,,影子偷袭	出奇一击	逃脱按键,1,100.0%,1
,,影子偷袭	奇异之光	攻击强化,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,猛攻哑铃	学习装置	轻石	,66,64.08%,11
,,猛攻哑铃	轻石		锐利之爪,79,69.91%,7
,,猛攻哑铃	轻石		气势头带,81,72.97%,6
,,学习装置	轻石		气势头带,65,80.25%,6
,,得分护盾	猛攻哑铃	轻石	,101,76.52%,5
,,学习装置	轻石		锐利之爪,22,84.62%,4
,,亿奥斯饼干	猛攻哑铃	学习装置,11,100.0%,2
,,猛攻哑铃	学习装置	气势头带,7,70.0%,2
,,猛攻哑铃	气势头带	锐利之爪,30,78.95%,1
,,得分护盾	猛攻哑铃	气势头带,29,74.36%,1
,,轻石		力量头带	锐利之爪,28,68.29%,1
,,学习装置	轻石		吃剩的东西,23,88.46%,1
,,得分护盾	学习装置	轻石	,10,90.91%,1
,,得分护盾	轻石		气势头带,3,100.0%,1
,,连打围巾	得分护盾	猛攻哑铃,2,100.0%,1
,,得分护盾	猛攻哑铃	力量头带,2,66.67%,1
,,轻石		锐利之爪	焦点镜,2,66.67%,1
,,猛攻哑铃	力量头带	锐利之爪,2,66.67%,1
,,猛攻哑铃	轻石		力量头带,1,100.0%,1
6,武道熊师,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,39,7.06%,480,73.96%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,水果乐园澜坤,50,58.14%
,,TMB・PikaGod,48,82.76%
,,KC.kosota,46,66.67%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,暗冥强击	水流连打	速度强化,194,67.6%,21
,,暗冥强击	水流连打	逃脱按键,100,79.37%,19
,,深渊突刺	水流裂破	万灵药,64,78.05%,9
,,深渊突刺	水流裂破	逃脱按键,40,75.47%,8
,,深渊突刺	水流裂破	速度强化,39,78.0%,11
,,暗冥强击	水流连打	伤药	,20,80.0%,5
,,暗冥强击	水流连打	万灵药,9,75.0%,6
,,暗冥强击	水流连打	攻击强化,8,100.0%,2
,,深渊突刺	水流裂破	攻击强化,3,100.0%,2
,,暗冥强击	水流连打	迟缓烟雾,1,100.0%,1
,,暗冥强击	水流连打	向尾喵的尾巴,1,100.0%,1
,,深渊突刺	水流裂破	伤药	,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,猛攻哑铃	焦点镜	弱点保险,76,81.72%,4
,,猛攻哑铃	气势头带	弱点保险,17,77.27%,4
,,猛攻哑铃	气势头带	焦点镜,34,79.07%,3
,,猛攻哑铃	气势头带	锐利之爪,22,61.11%,3
,,气势头带	锐利之爪	弱点保险,8,57.14%,3
,,猛攻哑铃	锐利之爪	弱点保险,60,68.97%,2
,,猛攻哑铃	锐利之爪	焦点镜,44,95.65%,2
,,猛攻哑铃	力量头带	锐利之爪,33,76.74%,2
,,气势头带	焦点镜	弱点保险,13,76.47%,2
,,锐利之爪	焦点镜	弱点保险,50,58.14%,1
,,力量头带	锐利之爪	弱点保险,26,66.67%,1
,,连打围巾	锐利之爪	弱点保险,21,87.5%,1
,,治愈王冠	锐利之爪	焦点镜,14,77.78%,1
,,亿奥斯饼干	猛攻哑铃	焦点镜,12,92.31%,1
,,救援屏障	猛攻哑铃	气势头带,11,91.67%,1
,,轻石		气势头带	焦点镜,11,91.67%,1
,,连打围巾	猛攻哑铃	锐利之爪,10,90.91%,1
,,亿奥斯饼干	猛攻哑铃	气势头带,9,64.29%,1
,,能量增幅器	猛攻哑铃	贝壳之铃,3,42.86%,1
,,连打围巾	力量头带	焦点镜,3,42.86%,1
,,治愈王冠	力量头带	锐利之爪,1,100.0%,1
,,治愈王冠	猛攻哑铃	弱点保险,1,100.0%,1
,,治愈王冠	猛攻哑铃	力量头带,1,33.33%,1
7,魔墙人偶,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,76,6.95%,498,77.93%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,iDestroyU,96,76.19%
,,AqilXYZ,49,77.78%
,,BaN6x,35,81.4%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,念力		力量互换	速度强化,297,78.57%,37
,,念力		屏障		速度强化,93,73.81%,35
,,念力		屏障		伤药	,48,80.0%,9
,,念力		屏障		逃脱按键,31,88.57%,5
,,念力		力量互换	伤药	,19,65.52%,5
,,念力		力量互换	逃脱按键,5,100.0%,3
,,精神强念	力量互换	伤药	,2,100.0%,2
,,精神强念	力量互换	速度强化,2,66.67%,3
,,念力		屏障		攻击强化,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,讲究眼镜	进击眼镜	气势头带,345,76.5%,45
,,亿奥斯饼干	进击眼镜	气势头带,57,85.07%,9
,,讲究眼镜	进击眼镜	博识眼镜,30,78.95%,6
,,救援屏障	进击眼镜	气势头带,6,85.71%,4
,,讲究眼镜	救援屏障	进击眼镜,2,66.67%,3
,,进击眼镜	气势头带	博识眼镜,11,78.57%,2
,,讲究眼镜	气势头带	博识眼镜,35,81.4%,1
,,得分护盾	亿奥斯饼干	进击眼镜,7,70.0%,1
,,得分护盾	进击眼镜	气势头带,2,100.0%,1
,,讲究眼镜	救援屏障	博识眼镜,1,100.0%,1
,,讲究眼镜	能量增幅器	气势头带,1,100.0%,1
,,能量增幅器	进击眼镜	气势头带,1,100.0%,1
,,讲究眼镜	能量增幅器	进击眼镜,0,0.0%,1
8,路卡利欧,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,83,6.94%,458,71.79%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,BB_ICE,68,73.91%
,,K2_Muuuu,50,78.12%
,,おいもかる,33,78.57%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,神速		骨棒乱打	万灵药,119,68.39%,41
,,增强拳	近身战	速度强化,110,79.71%,20
,,增强拳	近身战	伤药	,64,68.09%,7
,,增强拳	近身战	攻击强化,49,66.22%,24
,,增强拳	骨棒乱打	速度强化,35,77.78%,3
,,增强拳	近身战	逃脱按键,31,72.09%,8
,,神速		近身战	万灵药,15,93.75%,3
,,神速		骨棒乱打	速度强化,11,55.0%,11
,,增强拳	近身战	万灵药,7,63.64%,5
,,神速		骨棒乱打	攻击强化,6,66.67%,6
,,神速		骨棒乱打	伤药	,3,100.0%,2
,,增强拳	骨棒乱打	攻击强化,3,100.0%,3
,,增强拳	骨棒乱打	伤药	,2,100.0%,2
,,神速		骨棒乱打	逃脱按键,2,66.67%,3
,,神速		近身战	攻击强化,1,100.0%,1
,,神速		近身战	逃脱按键,0,0.0%,1
,,神速		近身战	速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,猛攻哑铃	锐利之爪	弱点保险,121,74.23%,21
,,猛攻哑铃	力量头带	弱点保险,147,71.01%,18
,,猛攻哑铃	力量头带	锐利之爪,49,75.38%,11
,,猛攻哑铃	轻石		弱点保险,11,78.57%,4
,,猛攻哑铃	气势头带	力量头带,12,70.59%,3
,,治愈王冠	猛攻哑铃	力量头带,9,75.0%,3
,,治愈王冠	猛攻哑铃	弱点保险,7,43.75%,3
,,猛攻哑铃	气势头带	弱点保险,4,80.0%,3
,,猛攻哑铃	气势头带	锐利之爪,3,75.0%,3
,,猛攻哑铃	轻石		力量头带,20,66.67%,2
,,猛攻哑铃	轻石		锐利之爪,50,78.12%,1
,,连打围巾	猛攻哑铃	弱点保险,8,72.73%,1
,,亿奥斯饼干	猛攻哑铃	弱点保险,7,50.0%,1
,,救援屏障	猛攻哑铃	气势头带,3,75.0%,1
,,连打围巾	猛攻哑铃	锐利之爪,2,100.0%,1
,,气势头带	力量头带	弱点保险,1,100.0%,1
,,治愈王冠	猛攻哑铃	锐利之爪,1,100.0%,1
,,连打围巾	猛攻哑铃	力量头带,1,50.0%,1
,,轻石		力量头带	弱点保险,1,50.0%,1
,,气势头带	锐利之爪	弱点保险,1,50.0%,1
,,亿奥斯饼干	猛攻哑铃	气势头带,0,0.0%,1
,,猛攻哑铃	轻石		气势头带,0,0.0%,1
9,梦幻,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,55,6.83%,469,74.68%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,AfiЁ_:PacK,86,77.48%
,,Romfndq,55,79.71%
,,RoseTheHat,51,79.69%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,冲浪		高速移动	逃脱按键,132,74.58%,23
,,日光束	光墙		逃脱按键,122,64.89%,35
,,电球		高速移动	逃脱按键,86,81.13%,25
,,电球		指导		逃脱按键,40,81.63%,15
,,日光束	高速移动	逃脱按键,22,95.65%,12
,,冲浪		光墙		逃脱按键,13,81.25%,9
,,技能未定	技能未定	逃脱按键,10,83.33%,11
,,电球		光墙		逃脱按键,8,61.54%,7
,,冲浪		指导		逃脱按键,5,100.0%,3
,,电球		技能未定	逃脱按键,4,100.0%,3
,,日光束	光墙		速度强化,4,66.67%,3
,,冲浪		高速移动	速度强化,4,50.0%,4
,,冲浪		技能未定	逃脱按键,3,75.0%,3
,,日光束	技能未定	逃脱按键,2,100.0%,2
,,日光束	高速移动	速度强化,2,100.0%,2
,,日光束	指导		逃脱按键,2,100.0%,2
,,日光束	光墙		万灵药,2,100.0%,1
,,冲浪		高速移动	万灵药,2,100.0%,1
,,日光束	光墙		攻击强化,2,100.0%,1
,,电球		高速移动	速度强化,2,66.67%,2
,,冲浪		技能未定	万灵药,1,100.0%,1
,,冲浪		光墙		速度强化,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,讲究眼镜	进击眼镜	博识眼镜,282,74.8%,32
,,讲究眼镜	贝壳之铃	博识眼镜,140,77.78%,18
,,讲究眼镜	进击眼镜	贝壳之铃,2,50.0%,2
,,进击眼镜	贝壳之铃	博识眼镜,38,67.86%,1
,,讲究眼镜	进击眼镜	气势头带,6,60.0%,1
,,讲究眼镜	学习装置	博识眼镜,1,100.0%,1
