,一共游戏场数,4061
,,冰冻之风	冷冻干燥	逃脱按键,191,71.0%,39
,,冰冻之风	冷冻干燥	攻击强化,9,45.0%,2
,,冰锥		冰砾		逃脱按键,8,66.67%,6
,,冰冻之风	冷冻干燥	速度强化,5,71.43%,3
,,冰冻之风	冷冻干燥	万灵药,4,66.67%,2
,,冰锥		冰砾		速度强化,2,66.67%,2
,,冰锥		冰砾		攻击强化,2,40.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	能量增幅器	贝壳之铃,96,64.43%,18
,,能量增幅器	讲究眼镜	贝壳之铃,68,85.0%,11
,,焦点镜	能量增幅器	贝壳之铃,33,60.0%,6
,,博识眼镜	讲究眼镜	贝壳之铃,9,69.23%,3
,,博识眼镜	能量增幅器	讲究眼镜,8,53.33%,2
,,焦点镜	讲究眼镜	贝壳之铃,3,100.0%,1
,,博识眼镜	焦点镜	贝壳之铃,3,75.0%,1
,,博识眼镜	气势头带	讲究眼镜,1,100.0%,1
,,救援屏障	气势头带	焦点镜,0,0.0%,1
,,博识眼镜	焦点镜	讲究眼镜,0,0.0%,1
9,胡帕,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,34,7.63%,228,73.55%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,ttvMoneyMax,88,73.95%
,,TRU・Wablet,30,90.91%
,,Oath・BeastF,17,89.47%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,潜灵奇袭	异次元洞	逃脱按键,109,73.65%,9
,,潜灵奇袭	异次元洞	速度强化,72,71.29%,13
,,潜灵奇袭	异次元洞	伤药	,20,80.0%,6
,,潜灵奇袭	异次元洞	攻击强化,17,77.27%,8
,,暗影球	异次元洞	攻击强化,4,80.0%,1
,,暗影球	异次元洞	伤药	,2,100.0%,2
,,潜灵奇袭	戏法		速度强化,1,100.0%,1
,,潜灵奇袭	戏法		伤药	,1,100.0%,1
