,一共游戏场数,8059
,,杂技		水流裂破	逃脱按键,175,67.83%,36
,,致命针刺	水流裂破	逃脱按键,78,69.64%,16
,,致命针刺	狙击		逃脱按键,50,76.92%,16
,,杂技		水流裂破	脱壳忍者玩偶,44,77.19%,4
,,致命针刺	狙击		脱壳忍者玩偶,7,77.78%,4
,,杂技		狙击		逃脱按键,5,71.43%,4
,,致命针刺	狙击		攻击强化,3,42.86%,1
,,致命针刺	水流裂破	万灵药,3,42.86%,1
,,致命针刺	狙击		速度强化,1,100.0%,1
,,致命针刺	狙击		万灵药,1,50.0%,1
,,杂技		水流裂破	速度强化,1,33.33%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	穿透汤匙	讲究眼镜,329,69.85%,47
,,博识眼镜	穿透汤匙	进击眼镜,28,77.78%,2
,,穿透汤匙	讲究眼镜	进击眼镜,3,60.0%,2
,,博识眼镜	焦点镜	穿透汤匙,2,40.0%,2
,,博识眼镜	穿透汤匙	贝壳之铃,3,60.0%,1
,,博识眼镜	贝壳之铃	进击眼镜,3,50.0%,1
5,皮可西,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,43,5.93%,365,76.36%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Marpher.,117,83.57%
,,Diancie,34,80.95%
,,DxD_NiNjaOP,33,70.21%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,月光		重力		速度强化,245,75.85%,31
,,月光		看我嘛	速度强化,89,76.07%,17
,,月光		重力		逃脱按键,25,83.33%,8
,,月光		重力		脱壳忍者玩偶,2,100.0%,1
,,月光		看我嘛	逃脱按键,2,50.0%,2
,,吸取之吻	看我嘛	脱壳忍者玩偶,1,100.0%,1
,,月光		看我嘛	脱壳忍者玩偶,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,学习装置	气势头带	进击眼镜,84,75.0%,13
,,学习装置	救援屏障	进击眼镜,81,68.64%,8
,,博识眼镜	学习装置	进击眼镜,14,87.5%,6
,,学习装置	救援屏障	气势头带,4,66.67%,3
,,学习装置	援助头巾	气势头带,39,81.25%,2
,,博识眼镜	学习装置	气势头带,13,72.22%,2
,,博识眼镜	学习装置	救援屏障,8,66.67%,2
,,博识眼镜	气势头带	进击眼镜,117,83.57%,1
,,博识眼镜	学习装置	能量增幅器,2,100.0%,1
,,学习装置	援助头巾	讲究眼镜,1,100.0%,1
,,学习装置	援助头巾	进击眼镜,1,100.0%,1
,,博识眼镜	学习装置	援助头巾,1,50.0%,1
,,学习装置	讲究眼镜	进击眼镜,0,0.0%,1
,,博识眼镜	能量增幅器	讲究眼镜,0,0.0%,1
6,叶伊布,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,55,5.61%,293,64.82%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,SaD·星黃包,60,63.16%
,,notOGmikeyツ,45,75.0%
,,Benizakura,20,80.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,飞叶快刀	叶刃		逃脱按键,137,64.62%,23
,,日光刃	叶刃		逃脱按键,61,55.45%,35
,,日光刃	叶刃		伤药	,50,76.92%,4
,,日光刃	叶刃		万灵药,19,82.61%,1
,,日光刃	叶刃		脱壳忍者玩偶,9,52.94%,2
,,飞叶快刀	叶刃		万灵药,7,63.64%,3
,,日光刃	燕返		逃脱按键,3,100.0%,1
,,飞叶快刀	叶刃		攻击强化,3,75.0%,2
,,飞叶快刀	叶刃		伤药	,2,100.0%,1
,,飞叶快刀	燕返		逃脱按键,1,100.0%,1
,,日光刃	叶刃		攻击强化,1,50.0%,1
,,飞叶快刀	燕返		伤药	,0,0.0%,1
,,日光刃	燕返		脱壳忍者玩偶,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,猛攻哑铃	能量增幅器	锐利之爪,132,61.97%,20
,,猛攻哑铃	能量增幅器	轻石,70,75.27%,13
,,救援屏障	猛攻哑铃	能量增幅器,30,65.22%,8
,,学习装置	猛攻哑铃	能量增幅器,15,53.57%,3
,,猛攻哑铃	轻石	锐利之爪,2,50.0%,3
,,亿奥斯饼干	猛攻哑铃	轻石,20,80.0%,1
,,救援屏障	猛攻哑铃	锐利之爪,11,68.75%,1
,,亿奥斯饼干	猛攻哑铃	能量增幅器,8,50.0%,1
,,救援屏障	猛攻哑铃	轻石,3,100.0%,1
,,焦点镜	能量增幅器	锐利之爪,1,100.0%,1
,,弱点保险	猛攻哑铃	能量增幅器,1,20.0%,1
,,力量头带	能量增幅器	锐利之爪,0,0.0%,1
,,焦点镜	猛攻哑铃	锐利之爪,0,0.0%,1
